paramSetNum,N,g0,g1,kd,ha,hr,fa,fr
241,20,0.5,7,1,0.001,1e-05,10.0,1e-05
242,20,0.5,7,1,0.001,1e-05,10.0,0.001
243,20,0.5,7,1,0.001,1e-05,10.0,0.1
244,20,0.5,7,1,0.001,1e-05,10.0,1.0
245,20,0.5,7,1,0.001,1e-05,10.0,10.0
246,20,0.5,7,1,0.001,1e-05,10.0,1000.0
247,20,0.5,7,1,0.001,1e-05,1000.0,1e-05
248,20,0.5,7,1,0.001,1e-05,1000.0,0.001
249,20,0.5,7,1,0.001,1e-05,1000.0,0.1
250,20,0.5,7,1,0.001,1e-05,1000.0,1.0
251,20,0.5,7,1,0.001,1e-05,1000.0,10.0
252,20,0.5,7,1,0.001,1e-05,1000.0,1000.0
253,20,0.5,7,1,0.001,0.001,1e-05,1e-05
254,20,0.5,7,1,0.001,0.001,1e-05,0.001
255,20,0.5,7,1,0.001,0.001,1e-05,0.1
256,20,0.5,7,1,0.001,0.001,1e-05,1.0
257,20,0.5,7,1,0.001,0.001,1e-05,10.0
258,20,0.5,7,1,0.001,0.001,1e-05,1000.0
259,20,0.5,7,1,0.001,0.001,0.001,1e-05
260,20,0.5,7,1,0.001,0.001,0.001,0.001
261,20,0.5,7,1,0.001,0.001,0.001,0.1
262,20,0.5,7,1,0.001,0.001,0.001,1.0
263,20,0.5,7,1,0.001,0.001,0.001,10.0
264,20,0.5,7,1,0.001,0.001,0.001,1000.0
265,20,0.5,7,1,0.001,0.001,0.1,1e-05
266,20,0.5,7,1,0.001,0.001,0.1,0.001
267,20,0.5,7,1,0.001,0.001,0.1,0.1
268,20,0.5,7,1,0.001,0.001,0.1,1.0
269,20,0.5,7,1,0.001,0.001,0.1,10.0
270,20,0.5,7,1,0.001,0.001,0.1,1000.0
271,20,0.5,7,1,0.001,0.001,1.0,1e-05
272,20,0.5,7,1,0.001,0.001,1.0,0.001
273,20,0.5,7,1,0.001,0.001,1.0,0.1
274,20,0.5,7,1,0.001,0.001,1.0,1.0
275,20,0.5,7,1,0.001,0.001,1.0,10.0
276,20,0.5,7,1,0.001,0.001,1.0,1000.0
277,20,0.5,7,1,0.001,0.001,10.0,1e-05
278,20,0.5,7,1,0.001,0.001,10.0,0.001
279,20,0.5,7,1,0.001,0.001,10.0,0.1
280,20,0.5,7,1,0.001,0.001,10.0,1.0
281,20,0.5,7,1,0.001,0.001,10.0,10.0
282,20,0.5,7,1,0.001,0.001,10.0,1000.0
283,20,0.5,7,1,0.001,0.001,1000.0,1e-05
284,20,0.5,7,1,0.001,0.001,1000.0,0.001
285,20,0.5,7,1,0.001,0.001,1000.0,0.1
286,20,0.5,7,1,0.001,0.001,1000.0,1.0
287,20,0.5,7,1,0.001,0.001,1000.0,10.0
288,20,0.5,7,1,0.001,0.001,1000.0,1000.0
289,20,0.5,7,1,0.001,0.1,1e-05,1e-05
290,20,0.5,7,1,0.001,0.1,1e-05,0.001
291,20,0.5,7,1,0.001,0.1,1e-05,0.1
