paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr,c_c,c_cr,c_o
58,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1.0,1e-05,0.001,1e-05
59,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1.0,1e-05,0.001,0.001
60,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1.0,1e-05,0.001,1.0
61,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1.0,1e-05,0.1,1e-05
62,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1.0,1e-05,0.1,0.001
63,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1.0,1e-05,0.1,1.0
64,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,100.0,1e-05,1e-05,1e-05
65,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,100.0,1e-05,1e-05,0.001
66,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,100.0,1e-05,1e-05,1.0
67,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,100.0,1e-05,0.001,1e-05
68,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,100.0,1e-05,0.001,0.001
69,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,100.0,1e-05,0.001,1.0
70,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,100.0,1e-05,0.1,1e-05
71,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,100.0,1e-05,0.1,0.001
72,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,100.0,1e-05,0.1,1.0
73,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,10000.0,1e-05,1e-05,1e-05
74,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,10000.0,1e-05,1e-05,0.001
75,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,10000.0,1e-05,1e-05,1.0
76,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,10000.0,1e-05,0.001,1e-05
77,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,10000.0,1e-05,0.001,0.001
78,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,10000.0,1e-05,0.001,1.0
79,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,10000.0,1e-05,0.1,1e-05
80,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,10000.0,1e-05,0.1,0.001
81,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,10000.0,1e-05,0.1,1.0
82,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1000000.0,1e-05,1e-05,1e-05
83,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1000000.0,1e-05,1e-05,0.001
84,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1000000.0,1e-05,1e-05,1.0
85,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1000000.0,1e-05,0.001,1e-05
86,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1000000.0,1e-05,0.001,0.001
87,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1000000.0,1e-05,0.001,1.0
88,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1000000.0,1e-05,0.1,1e-05
89,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1000000.0,1e-05,0.1,0.001
90,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1.0,1000000.0,1e-05,0.1,1.0
91,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,0.01,1e-05,1e-05,1e-05
92,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,0.01,1e-05,1e-05,0.001
93,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,0.01,1e-05,1e-05,1.0
94,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,0.01,1e-05,0.001,1e-05
95,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,0.01,1e-05,0.001,0.001
96,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,0.01,1e-05,0.001,1.0
97,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,0.01,1e-05,0.1,1e-05
98,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,0.01,1e-05,0.1,0.001
99,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,0.01,1e-05,0.1,1.0
100,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1.0,1e-05,1e-05,1e-05
101,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1.0,1e-05,1e-05,0.001
102,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1.0,1e-05,1e-05,1.0
103,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1.0,1e-05,0.001,1e-05
104,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1.0,1e-05,0.001,0.001
105,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1.0,1e-05,0.001,1.0
106,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1.0,1e-05,0.1,1e-05
107,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1.0,1e-05,0.1,0.001
108,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1.0,1e-05,0.1,1.0
109,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,100.0,1e-05,1e-05,1e-05
110,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,100.0,1e-05,1e-05,0.001
111,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,100.0,1e-05,1e-05,1.0
112,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,100.0,1e-05,0.001,1e-05
113,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,100.0,1e-05,0.001,0.001
114,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,100.0,1e-05,0.001,1.0
115,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,100.0,1e-05,0.1,1e-05
