paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr,c_c,c_cr,c_o
127,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,10.0,1e-05,1e-05,1e-05
128,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,10.0,1e-05,1e-05,1.0
129,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,10.0,1e-05,0.001,1e-05
130,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,10.0,1e-05,0.001,1.0
131,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,10.0,1e-05,0.1,1e-05
132,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,10.0,1e-05,0.1,1.0
133,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,1000.0,1e-05,1e-05,1e-05
134,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,1000.0,1e-05,1e-05,1.0
135,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,1000.0,1e-05,0.001,1e-05
136,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,1000.0,1e-05,0.001,1.0
137,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,1000.0,1e-05,0.1,1e-05
138,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,1000.0,1e-05,0.1,1.0
139,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,100000.0,1e-05,1e-05,1e-05
140,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,100000.0,1e-05,1e-05,1.0
141,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,100000.0,1e-05,0.001,1e-05
142,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,100000.0,1e-05,0.001,1.0
143,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,100000.0,1e-05,0.1,1e-05
144,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,10.0,100000.0,1e-05,0.1,1.0
145,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,0.1,1e-05,1e-05,1e-05
146,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,0.1,1e-05,1e-05,1.0
147,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,0.1,1e-05,0.001,1e-05
148,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,0.1,1e-05,0.001,1.0
149,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,0.1,1e-05,0.1,1e-05
150,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,0.1,1e-05,0.1,1.0
151,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,10.0,1e-05,1e-05,1e-05
152,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,10.0,1e-05,1e-05,1.0
153,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,10.0,1e-05,0.001,1e-05
154,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,10.0,1e-05,0.001,1.0
155,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,10.0,1e-05,0.1,1e-05
156,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,10.0,1e-05,0.1,1.0
157,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,1000.0,1e-05,1e-05,1e-05
158,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,1000.0,1e-05,1e-05,1.0
159,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,1000.0,1e-05,0.001,1e-05
160,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,1000.0,1e-05,0.001,1.0
161,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,1000.0,1e-05,0.1,1e-05
162,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,1000.0,1e-05,0.1,1.0
163,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,100000.0,1e-05,1e-05,1e-05
164,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,100000.0,1e-05,1e-05,1.0
165,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,100000.0,1e-05,0.001,1e-05
166,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,100000.0,1e-05,0.001,1.0
167,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,100000.0,1e-05,0.1,1e-05
168,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,1000.0,100000.0,1e-05,0.1,1.0
169,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,0.1,1e-05,1e-05,1e-05
170,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,0.1,1e-05,1e-05,1.0
171,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,0.1,1e-05,0.001,1e-05
