paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr
62,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,31622.776601683792,177827.94100389228
63,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,31622.776601683792,1000000.0
64,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,177827.94100389228,1.0
65,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,177827.94100389228,5.623413251903491
66,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,177827.94100389228,31.622776601683793
67,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,177827.94100389228,177.82794100389228
68,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,177827.94100389228,1000.0
69,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,177827.94100389228,5623.413251903491
70,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,177827.94100389228,31622.776601683792
71,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,177827.94100389228,177827.94100389228
72,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,177827.94100389228,1000000.0
73,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1000000.0,1.0
74,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1000000.0,5.623413251903491
75,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1000000.0,31.622776601683793
76,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1000000.0,177.82794100389228
77,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1000000.0,1000.0
78,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1000000.0,5623.413251903491
79,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1000000.0,31622.776601683792
80,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1000000.0,177827.94100389228
81,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,1.0,1000000.0,1000000.0
82,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1.0,1.0
83,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1.0,5.623413251903491
84,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1.0,31.622776601683793
85,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1.0,177.82794100389228
86,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1.0,1000.0
87,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1.0,5623.413251903491
88,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1.0,31622.776601683792
89,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1.0,177827.94100389228
90,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1.0,1000000.0
91,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,5.623413251903491,1.0
92,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,5.623413251903491,5.623413251903491
93,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,5.623413251903491,31.622776601683793
94,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,5.623413251903491,177.82794100389228
95,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,5.623413251903491,1000.0
96,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,5.623413251903491,5623.413251903491
