paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr,c_c,c_cr,c_o
106,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1.0,1e-05,0.1,1e-05
107,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1.0,1e-05,0.1,0.001
108,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1.0,1e-05,0.1,1.0
109,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,100.0,1e-05,1e-05,1e-05
110,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,100.0,1e-05,1e-05,0.001
111,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,100.0,1e-05,1e-05,1.0
112,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,100.0,1e-05,0.001,1e-05
113,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,100.0,1e-05,0.001,0.001
114,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,100.0,1e-05,0.001,1.0
115,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,100.0,1e-05,0.1,1e-05
116,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,100.0,1e-05,0.1,0.001
117,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,100.0,1e-05,0.1,1.0
118,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,10000.0,1e-05,1e-05,1e-05
119,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,10000.0,1e-05,1e-05,0.001
120,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,10000.0,1e-05,1e-05,1.0
121,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,10000.0,1e-05,0.001,1e-05
122,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,10000.0,1e-05,0.001,0.001
123,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,10000.0,1e-05,0.001,1.0
124,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,10000.0,1e-05,0.1,1e-05
125,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,10000.0,1e-05,0.1,0.001
126,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,10000.0,1e-05,0.1,1.0
127,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1000000.0,1e-05,1e-05,1e-05
128,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1000000.0,1e-05,1e-05,0.001
129,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1000000.0,1e-05,1e-05,1.0
130,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1000000.0,1e-05,0.001,1e-05
131,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1000000.0,1e-05,0.001,0.001
132,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1000000.0,1e-05,0.001,1.0
133,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1000000.0,1e-05,0.1,1e-05
134,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1000000.0,1e-05,0.1,0.001
135,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1000000.0,1e-05,0.1,1.0
136,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,0.01,1e-05,1e-05,1e-05
137,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,0.01,1e-05,1e-05,0.001
138,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,0.01,1e-05,1e-05,1.0
139,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,0.01,1e-05,0.001,1e-05
140,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,0.01,1e-05,0.001,0.001
141,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,0.01,1e-05,0.001,1.0
142,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,0.01,1e-05,0.1,1e-05
143,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,0.01,1e-05,0.1,0.001
144,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,0.01,1e-05,0.1,1.0
145,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1.0,1e-05,1e-05,1e-05
146,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1.0,1e-05,1e-05,0.001
147,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1.0,1e-05,1e-05,1.0
148,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1.0,1e-05,0.001,1e-05
149,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1.0,1e-05,0.001,0.001
150,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1.0,1e-05,0.001,1.0
151,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1.0,1e-05,0.1,1e-05
152,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1.0,1e-05,0.1,0.001
153,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1.0,1e-05,0.1,1.0
154,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,100.0,1e-05,1e-05,1e-05
155,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,100.0,1e-05,1e-05,0.001
156,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,100.0,1e-05,1e-05,1.0
157,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,100.0,1e-05,0.001,1e-05
158,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,100.0,1e-05,0.001,0.001
159,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,100.0,1e-05,0.001,1.0
160,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,100.0,1e-05,0.1,1e-05
161,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,100.0,1e-05,0.1,0.001
162,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,100.0,1e-05,0.1,1.0
163,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,10000.0,1e-05,1e-05,1e-05
164,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,10000.0,1e-05,1e-05,0.001
165,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,10000.0,1e-05,1e-05,1.0
166,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,10000.0,1e-05,0.001,1e-05
167,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,10000.0,1e-05,0.001,0.001
168,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,10000.0,1e-05,0.001,1.0
169,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,10000.0,1e-05,0.1,1e-05
170,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,10000.0,1e-05,0.1,0.001
171,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,10000.0,1e-05,0.1,1.0
172,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1000000.0,1e-05,1e-05,1e-05
173,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1000000.0,1e-05,1e-05,0.001
174,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1000000.0,1e-05,1e-05,1.0
175,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1000000.0,1e-05,0.001,1e-05
176,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1000000.0,1e-05,0.001,0.001
177,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1000000.0,1e-05,0.001,1.0
178,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1000000.0,1e-05,0.1,1e-05
179,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1000000.0,1e-05,0.1,0.001
180,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,1000000.0,1e-05,0.1,1.0
181,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,0.01,1e-05,1e-05,1e-05
182,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,0.01,1e-05,1e-05,0.001
183,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,0.01,1e-05,1e-05,1.0
184,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,0.01,1e-05,0.001,1e-05
185,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,0.01,1e-05,0.001,0.001
186,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,0.01,1e-05,0.001,1.0
187,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,0.01,1e-05,0.1,1e-05
188,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,0.01,1e-05,0.1,0.001
189,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,0.01,1e-05,0.1,1.0
190,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,1.0,1e-05,1e-05,1e-05
191,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,1.0,1e-05,1e-05,0.001
192,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,1.0,1e-05,1e-05,1.0
193,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,1.0,1e-05,0.001,1e-05
194,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,1.0,1e-05,0.001,0.001
195,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,1.0,1e-05,0.001,1.0
196,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,1.0,1e-05,0.1,1e-05
197,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,1.0,1e-05,0.1,0.001
198,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,1.0,1e-05,0.1,1.0
199,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,100.0,1e-05,1e-05,1e-05
200,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,1000000.0,100.0,1e-05,1e-05,0.001
